Código	Artículo	Precio sin impuestos	Porcentaje impuestos	Porcentaje liquidación	Fecha fin de promo	Fecha reposición	Canon digital	Part number	Stock local	Stock provincias	Id marca	Id categoría	Categoría	URL imagen	Código Icecat
10118578	"Funda CASE LOGIC SnapView para iPad 10.2"" Azul(3204444)"	PVM	7	0		11/11/2022	0	3204444	0	0			Tablets / eBooks>Accesorios PAD y Tablet>Fundas PAD y Tablet		-1
99001053	Varios	PVM		0			0		3	3					-1
70700612	Filtro serie 500 iRobot	PVM	7	0			0		5	5			Hogar / Electrónica consumo>Electrodom.>iRobot	https://cluster.binarycanarias.com/img/cp-70700612.jpg	-1
81004010	"Soporte pared Vogel 15Kgs 10""-24"" EFW 1000 (OUTF801)"	PVM	7	30			0	OUTF801	1	1			Imagen y sonido>Proyectores>Seminuevo (Proyectores y Pantallas)		-1
82104553	DELL Laser 2230d Mono Laser (OUT4553)	PVM	7	0			4.5	OUT4553	1	1			Impresoras y escáner>Impresoras láser>Seminuevo (Impresoras láser)	https://cluster.binarycanarias.com/img/cp-82104553.jpg	-1
83000500	Router ADSL 4P (USR209105) Ver 1º. (OUTF530)	PVM	7	0			0		1	1			Redes y CCTV>Switch y routers>Seminuevo (Switch y routers)		-1
45300101	Camara LG L321-BP	PVM	7	70			0	L321-BP	2	2			Redes y CCTV>CCTV>Cámaras IP	https://cluster.binarycanarias.com/img/cp-45300101.jpg	9466252
45301606	Cámara de VideoVigilancia Conceptronic (CCAM700V42)	PVM	7	50			0	2CONCCAM700V42	1	1			Redes y CCTV>CCTV>Varios (CCTV)	https://cluster.binarycanarias.com/img/cp-45301606.jpg	22809582
50251302	Tinta HP Amarillo 825pag (C2P26AE) N935XL	PVM	7	0			0	C2P26AE	10	10			Consumibles impresión>Tintas Marcas>Tintas HP	https://cluster.binarycanarias.com/img/cp-50251302.jpg	22834402
50252746	Tinta HP Amarillo 825pag (CN056AE) N933XL	PVM	7	0			0	CN056AE	5	5			Consumibles impresión>Tintas Marcas>Tintas HP	https://cluster.binarycanarias.com/img/cp-50252746.jpg	12233625
50253082	Tinta EPSON Magenta Lechuza T0793	PVM	7	0			0	C13T07934010	2	4			Consumibles impresión>Tintas Marcas>Tintas Epson	https://cluster.binarycanarias.com/img/cp-50253082.jpg	9476673
50253123	Tinta EPSON Cian Lechuza T0792	PVM	7	0			0	C13T07924010	0	1			Consumibles impresión>Tintas Marcas>Tintas Epson	https://cluster.binarycanarias.com/img/cp-50253123.jpg	874806
10111407	Cable de Red BELKIN Cat6e 2m Negro (A3L981BT02MBKHS)	PVM	7	0			0	A3L981BT02MBKHS	1	5			Periféricos>Cables>Cables de red	https://cluster.binarycanarias.com/img/cp-10111407.jpg	33488802
10111482	Intel Core i7-11700KF 3.6GHz LGA1200 16Mb Caja	PVM	7	0			0	BX8070811700KF	4	8			Integración>Microprocesadores>Intel socket 1200	https://cluster.binarycanarias.com/img/cp-10111482.jpg	88555665
10111606	Cable EQUIP TOSLIK Óptico Digital Audio 3m (EQ147922)	PVM	7	0			0	EQ147922	3	7			Periféricos>Cables>Varios (cables)	https://cluster.binarycanarias.com/img/cp-10111606.jpg	58878349
10111665	Multifuncion BROTHER inkjet MFCJ4340DW	PVM	7	0		11/11/2022	5.25	MFCJ4340DW	0	0			Impresoras y escáner>Impresoras inyección de tinta>Impresoras multifunción	https://cluster.binarycanarias.com/img/cp-10111665.jpg	-1
10112031	Silla Gaming Drift DR50 Negro (DR50B)	PVM	7	0			0	DR50B	7	10			Juegos y Consolas>Gaming PC>Sillas	https://cluster.binarycanarias.com/img/cp-10112031.jpg	-1
10112074	Switch TP-LINK 28P 24Gbit + 4 10GE SFP+ (TL-SG3428X)	PVM	7	0			0	TL-SG3428X	1	1			Redes y CCTV>Switch y routers>Switch 10Gbit	https://cluster.binarycanarias.com/img/cp-10112074.jpg	87044653
10112279	"Base Refrig. UNYKA Candy C300 15.6"" LED (UK533001)"	PVM	7	0			0	UK533001	3	10			Ordenadores portátiles>Accesorios notebook>Soportes	https://cluster.binarycanarias.com/img/cp-10112279.jpg	93800811
10112390	Toner HP LaserJet Negro 212A (W2120A)	PVM	7	0			0	W2120A	1	2			Consumibles impresión>Toner Marcas>Toner HP	https://cluster.binarycanarias.com/img/cp-10112390.jpg	78705908
10112541	Fuente Approx Gaming 800W PSU ATX 14cm (APP800PSV3)	PVM	7	0			0	APP800PSV3	5	5			Integración>Fuentes alimentación>Fuentes gaming	https://cluster.binarycanarias.com/img/cp-10112541.jpg	93831802
10112699	Silla CORSAIR Gaming TC60 Fabric Blanco (CF-9010037-WW)	PVM	7	0			0	CF-9010037-WW	0	2			Juegos y Consolas>Gaming PC>Sillas	https://cluster.binarycanarias.com/img/cp-10112699.jpg	-1
10113062	Microsoft 365 Business Estandar 12Meses 5Disp KLQ-00697	PVM	7	0			0	KLQ-00697	5	8			Software>Paquetes Office>Microsoft Office	https://cluster.binarycanarias.com/img/cp-10113062.jpg	-1
10113205	Hub AISENS Usb3.1-C/M a Usb-A/H Gris 15cm (A109-0508)	PVM	7	0			0	A109-0508	1	10			Periféricos>Hubs y adaptadores>HUBs USB	https://cluster.binarycanarias.com/img/cp-10113205.jpg	95249283
10113211	Cable F.O AISENS G657A2 SC/APC-SC/APC 7m (A152-0497)	PVM	7	0			0	A152-0497	5	7			Periféricos>Cables>Datos	https://cluster.binarycanarias.com/img/cp-10113211.jpg	95249275
10113254	Modulo DDR4 3600Mhz 8Gb FURY RGB (KF436C17BBA/8)	PVM	7	0			0	KF436C17BBA/8	10	10			Integración>Memorias>DDR4 3600	https://cluster.binarycanarias.com/img/cp-10113254.jpg	92995352
